#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 3/2/2026 1:16:37 PM,#Sample : Cu,#Comment : ,,,,,,,,,,,,,,
9.600000000E+1,2.286050000E+2,6.822270000E+1,-0.000000000E+0,8.066332872E-4,1.096294279E-2,2.712677304E-1,9.540648424E-5,1.096294279E-2,1.777384372E+2,2.445665598E-3,1.146717804E-2,5.556020031E-2,2.821887266E-5,1.146717804E-2,7.105630534E+0,0.000000000E+0
9.700000000E+1,2.281700000E+2,6.842520000E+1,0.000000000E+0,8.025346390E-4,1.096555845E-2,2.497240654E-1,9.746775328E-5,1.096555845E-2,1.779503751E+2,2.438141457E-3,1.146986928E-2,5.383226674E-2,2.656423403E-5,1.146986928E-2,8.194837213E+0,0.000000000E+0
9.800000000E+1,2.277370000E+2,6.862670000E+1,-0.000000000E+0,8.011587500E-4,1.096790582E-2,2.280546410E-1,9.702160982E-5,1.096790582E-2,1.776601569E+2,2.432361068E-3,1.147225754E-2,4.097133497E-2,2.651559720E-5,1.147225754E-2,7.260219058E+0,0.000000000E+0
9.900000000E+1,2.273050000E+2,6.882020000E+1,0.000000000E+0,7.992123316E-4,1.097038123E-2,2.620030929E-1,9.617996983E-5,1.097038123E-2,1.776774969E+2,2.427588710E-3,1.147473059E-2,5.364872137E-2,2.667823713E-5,1.147473059E-2,8.377030957E+0,0.000000000E+0
1.000000000E+2,2.268800000E+2,6.901040000E+1,-0.000000000E+0,7.992269212E-4,1.097280817E-2,1.761504399E-1,9.595216590E-5,1.097280817E-2,1.781061165E+2,2.421630386E-3,1.147736177E-2,2.258194246E-2,2.637565825E-5,1.147736177E-2,4.829874329E+0,0.000000000E+0
1.010000000E+2,2.264590000E+2,6.921100000E+1,-0.000000000E+0,7.949554374E-4,1.097541544E-2,1.577270126E-1,9.536070490E-5,1.097541544E-2,1.781742583E+2,2.416527727E-3,1.147964963E-2,1.879023296E-2,2.534402591E-5,1.147964963E-2,3.776278466E+0,0.000000000E+0
1.020000000E+2,2.260490000E+2,6.941610000E+1,0.000000000E+0,7.985410193E-4,1.097628295E-2,1.193771259E-1,9.232266547E-5,1.097628295E-2,1.785799122E+2,2.417730471E-3,1.148090003E-2,9.295789962E-3,2.996404681E-5,1.148090003E-2,3.101594780E+0,0.000000000E+0
1.030000000E+2,2.256410000E+2,6.961080000E+1,0.000000000E+0,7.944010665E-4,1.097878397E-2,3.204698694E-1,9.415981973E-5,1.097878397E-2,1.771315174E+2,2.409828481E-3,1.148322711E-2,7.684240005E-2,2.808957712E-5,1.148322711E-2,8.390453375E+0,0.000000000E+0
1.040000000E+2,2.252360000E+2,6.979890000E+1,-0.000000000E+0,7.928263703E-4,1.098118198E-2,3.468936295E-1,9.342011663E-5,1.098118198E-2,1.771530505E+2,2.405499786E-3,1.148581810E-2,8.026355902E-2,2.829778005E-5,1.148581810E-2,8.986487106E+0,0.000000000E+0
1.050000000E+2,2.248320000E+2,6.999650000E+1,0.000000000E+0,7.916791852E-4,1.098353094E-2,3.301794389E-1,9.346229531E-5,1.098353094E-2,1.770978294E+2,2.400774090E-3,1.148896027E-2,9.464738157E-2,2.858934786E-5,1.148896027E-2,9.968079595E+0,0.000000000E+0
1.060000000E+2,2.244270000E+2,7.019320000E+1,0.000000000E+0,7.882313134E-4,1.098567081E-2,1.166083855E-1,9.451981056E-5,1.098567081E-2,1.786333136E+2,2.392979765E-3,1.149148918E-2,6.271092818E-3,2.672845396E-5,1.149148918E-2,2.962524952E+0,0.000000000E+0
1.070000000E+2,2.240220000E+2,7.038330000E+1,0.000000000E+0,7.835034291E-4,1.098901563E-2,3.459817284E-1,9.574748643E-5,1.098901563E-2,1.771421018E+2,2.385932593E-3,1.149397222E-2,9.264414317E-2,2.484015048E-5,1.149397222E-2,1.053739016E+1,0.000000000E+0
1.080000000E+2,2.236180000E+2,7.057830000E+1,1.000000000E-4,7.846223182E-4,1.099148528E-2,2.158805892E-1,9.360088614E-5,1.099148528E-2,1.778912298E+2,2.382971542E-3,1.149636208E-2,5.191065140E-2,2.724912887E-5,1.149636208E-2,6.033228232E+0,0.000000000E+0
1.090000000E+2,2.232170000E+2,7.079810000E+1,-0.000000000E+0,7.831840966E-4,1.099347607E-2,1.416985309E-1,9.322442635E-5,1.099347607E-2,1.783151118E+2,2.376927507E-3,1.149804368E-2,2.495266626E-2,2.725268743E-5,1.149804368E-2,4.634383098E+0,0.000000000E+0
1.100000000E+2,2.228170000E+2,7.100250000E+1,0.000000000E+0,7.803810513E-4,1.099493786E-2,3.923627227E-1,9.361732157E-5,1.099493786E-2,1.768684297E+2,2.371921264E-3,1.149984777E-2,1.062741176E-1,2.668394663E-5,1.149984777E-2,1.065669038E+1,0.000000000E+0
1.110000000E+2,2.224190000E+2,7.118250000E+1,0.000000000E+0,7.798684758E-4,1.099705310E-2,3.699875410E-2,9.261287573E-5,1.099705310E-2,1.791120992E+2,2.367076288E-3,1.150203363E-2,-2.152653322E-2,2.697539686E-5,1.150203363E-2,1.745052721E+0,0.000000000E+0
1.120000000E+2,2.220250000E+2,7.138180000E+1,0.000000000E+0,7.772089994E-4,1.099910831E-2,2.688501831E-1,9.369222021E-5,1.099910831E-2,1.775308955E+2,2.361768741E-3,1.150386442E-2,6.330178839E-2,2.665911192E-5,1.150386442E-2,8.960724929E+0,0.000000000E+0
