#Time(s),T0(K),B(T),S/T(microV/K^2),T+_X(V),T+_Y(V),T+_R(V),T+_phase(V),T-_X(V),T-_Y(V),T-_R(V),T-_phase(V),VS_X(V),VS_Y(V),VS_R(V),VS_phase(V),T+_DC(V),T-_DC(V),VS_DC(V),f(Hz),I_R(A),I_offset(A),R_heater(Ohm),Stable?
6.9507000E+4,5.1957000E+1,1.0000000E-4,6.1063960E-2,5.0050522E-6,1.3551519E-6,5.1852661E-6,1.5149982E+1,-3.6913385E-6,-2.5999733E-7,3.7004836E-6,-1.7597106E+2,9.8070728E-7,1.0742685E-6,1.4545926E-6,4.7606826E+1,-9.6085691E-6,2.5509670E-5,9.0387044E-6,5.0000000E-1,3.9225483E-4,1.5227631E-7,5.1000000E+3,1.0000000E+0
6.9508000E+4,5.1953200E+1,1.0000000E-4,6.1064815E-2,5.0050522E-6,1.3551519E-6,5.1852661E-6,1.5149982E+1,-3.6913385E-6,-2.5999733E-7,3.7004836E-6,-1.7597106E+2,9.8070728E-7,1.0742685E-6,1.4545926E-6,4.7606826E+1,-9.6085691E-6,2.5509670E-5,9.0387044E-6,5.0000000E-1,3.9225483E-4,1.5227631E-7,5.1000000E+3,1.0000000E+0
6.9509000E+4,5.1951400E+1,1.0000000E-4,6.0926180E-2,4.9974527E-6,1.3703149E-6,5.1819202E-6,1.5333772E+1,-3.7122966E-6,-2.4560136E-7,3.7204121E-6,-1.7621489E+2,9.7578468E-7,1.0772122E-6,1.4534586E-6,4.7828377E+1,-9.6115610E-6,2.5501144E-5,9.0323994E-6,5.0000000E-1,3.9225556E-4,1.5329156E-7,5.1000000E+3,1.0000000E+0
6.9510000E+4,5.1947600E+1,1.0000000E-4,6.0927033E-2,4.9974527E-6,1.3703149E-6,5.1819202E-6,1.5333772E+1,-3.7122966E-6,-2.4560136E-7,3.7204121E-6,-1.7621489E+2,9.7578468E-7,1.0772122E-6,1.4534586E-6,4.7828377E+1,-9.6115610E-6,2.5501144E-5,9.0323994E-6,5.0000000E-1,3.9225556E-4,1.5329156E-7,5.1000000E+3,1.0000000E+0
6.9511000E+4,5.1941900E+1,1.0000000E-4,6.1026523E-2,5.0034784E-6,1.3647667E-6,5.1862688E-6,1.5257055E+1,-3.7111706E-6,-2.6222304E-7,3.7204231E-6,-1.7595833E+2,9.8129999E-7,1.0768862E-6,1.4569261E-6,4.7659018E+1,-9.6356310E-6,2.5490553E-5,8.9908345E-6,5.0000000E-1,3.9225685E-4,1.5422248E-7,5.1000000E+3,1.0000000E+0
6.9512000E+4,5.1938200E+1,1.0000000E-4,6.1027354E-2,5.0034784E-6,1.3647667E-6,5.1862688E-6,1.5257055E+1,-3.7111706E-6,-2.6222304E-7,3.7204231E-6,-1.7595833E+2,9.8129999E-7,1.0768862E-6,1.4569261E-6,4.7659018E+1,-9.6356310E-6,2.5490553E-5,8.9908345E-6,5.0000000E-1,3.9225685E-4,1.5422248E-7,5.1000000E+3,1.0000000E+0
6.9513000E+4,5.1936300E+1,1.0000000E-4,6.1273794E-2,5.0108705E-6,1.3634232E-6,5.1930479E-6,1.5221292E+1,-3.7052174E-6,-2.6097844E-7,3.7143970E-6,-1.7597100E+2,9.8107286E-7,1.0852333E-6,1.4629543E-6,4.7885780E+1,-9.6449978E-6,2.5466767E-5,9.0077589E-6,5.0000000E-1,3.9225764E-4,1.5255238E-7,5.1000000E+3,1.0000000E+0
6.9514000E+4,5.1932500E+1,1.0000000E-4,6.1274651E-2,5.0108705E-6,1.3634232E-6,5.1930479E-6,1.5221292E+1,-3.7052174E-6,-2.6097844E-7,3.7143970E-6,-1.7597100E+2,9.8107286E-7,1.0852333E-6,1.4629543E-6,4.7885780E+1,-9.6449978E-6,2.5466767E-5,9.0077589E-6,5.0000000E-1,3.9225764E-4,1.5255238E-7,5.1000000E+3,1.0000000E+0
6.9515000E+4,5.1928800E+1,1.0000000E-4,6.1004944E-2,5.0122635E-6,1.3778848E-6,5.1982066E-6,1.5371068E+1,-3.6973840E-6,-2.6115631E-7,3.7065956E-6,-1.7595975E+2,9.8316035E-7,1.0737943E-6,1.4558979E-6,4.7522947E+1,-9.6234283E-6,2.5503838E-5,9.0271165E-6,5.0000000E-1,3.9225844E-4,1.5174642E-7,5.1000000E+3,1.0000000E+0
6.9516000E+4,5.1923400E+1,1.0000000E-4,6.1006157E-2,5.0122635E-6,1.3778848E-6,5.1982066E-6,1.5371068E+1,-3.6973840E-6,-2.6115631E-7,3.7065956E-6,-1.7595975E+2,9.8316035E-7,1.0737943E-6,1.4558979E-6,4.7522947E+1,-9.6234283E-6,2.5503838E-5,9.0271165E-6,5.0000000E-1,3.9225844E-4,1.5174642E-7,5.1000000E+3,1.0000000E+0
