#Tav,S_AC,S_DC,dT_AC,dT_phase,Vs_phase,dT_DC,T0
2.3911509e+01,-1.7050985e-05,-1.2761318e-05,8.9881809e-01,-1.2377688e+02,5.6114042e+01,1.4024048e+00,1.8100000e+01
2.4594757e+01,-1.7136153e-05,-1.3858180e-05,9.2176542e-01,-1.2426135e+02,5.5707970e+01,1.4029435e+00,1.8599900e+01
2.5188768e+01,-1.7372779e-05,-1.3373362e-05,9.3530172e-01,-1.2454207e+02,5.5351822e+01,1.4950999e+00,1.9100000e+01
2.5793610e+01,-1.7454786e-05,-1.3556537e-05,9.5628150e-01,-1.2486960e+02,5.5057809e+01,1.5166788e+00,1.9599900e+01
2.6408865e+01,-1.7356203e-05,-1.4360566e-05,9.8626863e-01,-1.2540087e+02,5.4767301e+01,1.4439621e+00,2.0100000e+01
2.7006598e+01,-1.7664419e-05,-1.3877561e-05,9.9205201e-01,-1.2550134e+02,5.4483724e+01,1.5826579e+00,2.0600000e+01
2.7566485e+01,-1.7703659e-05,-1.3669850e-05,1.0126708e+00,-1.2572949e+02,5.4294200e+01,1.5975924e+00,2.1100000e+01
2.9985428e+01,-1.8060231e-05,-1.4570736e-05,1.0697942e+00,-1.2710918e+02,5.3208924e+01,1.7235610e+00,2.3100000e+01
3.2295243e+01,-1.8293254e-05,-1.4962934e-05,1.1193296e+00,-1.2848785e+02,5.2277416e+01,1.8078226e+00,2.5100100e+01
3.4591349e+01,-1.8326917e-05,-1.5956406e-05,1.1705851e+00,-1.2978123e+02,5.1575729e+01,1.8098624e+00,2.7100100e+01
3.6806668e+01,-1.8502063e-05,-1.5709765e-05,1.2042785e+00,-1.3063500e+02,5.1053709e+01,1.9373988e+00,2.9100200e+01
3.9006880e+01,-1.8474285e-05,-1.6409249e-05,1.2436576e+00,-1.3160487e+02,5.0654800e+01,1.8999921e+00,3.1100200e+01
4.4385199e+01,-1.8739430e-05,-1.6539680e-05,1.2921247e+00,-1.3326595e+02,4.9858685e+01,2.0934421e+00,3.6100800e+01
4.9628419e+01,-1.8780026e-05,-1.7014846e-05,1.3306945e+00,-1.3461049e+02,4.9368687e+01,2.1203550e+00,4.1100900e+01
5.4640245e+01,-1.8795000e-05,-1.7563667e-05,1.3352535e+00,-1.3544802e+02,4.9142372e+01,2.1010313e+00,4.6101000e+01
5.9268652e+01,-1.8738528e-05,-1.7422745e-05,1.3014485e+00,-1.3508599e+02,4.9604680e+01,2.0411613e+00,5.1100600e+01
6.3972720e+01,-1.8651610e-05,-1.7806791e-05,1.2613986e+00,-1.3553043e+02,4.9443694e+01,1.9400086e+00,5.6100700e+01
6.8565368e+01,-1.8582113e-05,-1.7582655e-05,1.2195828e+00,-1.3618375e+02,4.9060552e+01,1.8828226e+00,6.0976400e+01
7.0713678e+01,-1.8334668e-05,-1.7888745e-05,1.2049739e+00,-1.3653760e+02,4.8812317e+01,1.8262686e+00,6.3230700e+01
7.2773366e+01,-1.8238826e-05,-1.7422447e-05,1.1881775e+00,-1.3675733e+02,4.8633754e+01,1.8384474e+00,6.5399400e+01
