#T,rhoxx,Ixx
4.1198000e+00,3.5124156e-11,1.1643388e-02
4.1198100e+00,4.1645488e-11,1.1643412e-02
4.1199000e+00,7.3678220e-11,1.1643423e-02
4.1199300e+00,4.1915730e-11,1.1643362e-02
4.1200000e+00,4.3541320e-11,1.1643375e-02
4.1200700e+00,4.5603488e-11,1.1643368e-02
4.1200900e+00,3.3329988e-11,1.1643384e-02
4.1201700e+00,5.9790131e-11,1.1643430e-02
4.1202200e+00,3.4264990e-11,1.1643380e-02
4.1202700e+00,4.8121552e-11,1.1643384e-02
4.1203600e+00,2.2204420e-11,1.1643403e-02
4.1203900e+00,4.0945905e-11,1.1643391e-02
4.1204500e+00,4.3894729e-11,1.1643421e-02
4.1205400e+00,4.6236291e-11,1.1643439e-02
4.1205600e+00,4.7135906e-11,1.1643428e-02
4.1206400e+00,4.5374485e-11,1.1643445e-02
4.1207300e+00,4.7230004e-11,1.1643366e-02
4.1207400e+00,3.9290933e-11,1.1643415e-02
4.1208400e+00,4.9890899e-11,1.1643470e-02
4.1208900e+00,4.5458957e-11,1.1643374e-02
4.1209400e+00,5.2033029e-11,1.1643444e-02
4.1210400e+00,4.6303249e-11,1.1643441e-02
4.1210700e+00,2.6758928e-11,1.1643382e-02
4.1211400e+00,6.1219951e-11,1.1643463e-02
4.1212500e+00,5.9154985e-11,1.1643463e-02
4.1212600e+00,4.3654608e-11,1.1643405e-02
4.1213500e+00,4.1254279e-11,1.1643447e-02
4.1214500e+00,5.0362391e-11,1.1643482e-02
4.1215500e+00,4.5098530e-11,1.1643455e-02
4.1216400e+00,3.4341215e-11,1.1643422e-02
4.1216700e+00,4.8511023e-11,1.1643467e-02
4.1217800e+00,3.8224357e-11,1.1643449e-02
4.1218400e+00,4.0033764e-11,1.1643428e-02
4.1219000e+00,3.5472190e-11,1.1643457e-02
4.1220200e+00,4.5715983e-11,1.1643425e-02
4.1220600e+00,4.5856049e-11,1.1643432e-02
4.1221500e+00,4.5603297e-11,1.1643440e-02
4.1222900e+00,3.8888955e-11,1.1643432e-02
4.1224200e+00,3.8621691e-11,1.1643407e-02
4.1225200e+00,5.4190490e-11,1.1643449e-02
4.1225600e+00,4.0078847e-11,1.1643427e-02
4.1227000e+00,5.2957467e-11,1.1643423e-02
4.1227500e+00,5.1376486e-11,1.1643433e-02
4.1228400e+00,3.9606661e-11,1.1643423e-02
4.1229800e+00,4.5738857e-11,1.1643468e-02
4.1229900e+00,6.2402587e-11,1.1643489e-02
4.1231300e+00,3.4832600e-11,1.1643466e-02
4.1232500e+00,4.0831532e-11,1.1643433e-02
4.1232600e+00,5.1340722e-11,1.1643452e-02
